id,camera_id,name,location,health_status,overall_score,connectivity_status,connectivity_score,connectivity_message,image_quality_status,image_quality_score,image_quality_message,hardware_status,hardware_score,hardware_message,storage_status,storage_score,storage_message,temperature,uptime_hours,timestamp,last_check,created_at,updated_at
1,1,监控摄像头-1,主养殖区东北角,良好,82.00,正常,88,网络连接质量: 88%,正常,94,图像质量评分: 94%,正常,83,硬件状态评分: 83%,正常,63,存储空间使用率: 37%,20.28,217,1758616488067,2025-09-23 16:34:48,2025-09-23 16:34:48,2025-09-23 16:34:48
2,2,监控摄像头-2,投食区中心位置,良好,80.80,正常,86,网络连接质量: 86%,正常,76,图像质量评分: 76%,正常,97,硬件状态评分: 97%,正常,64,存储空间使用率: 36%,22.76,609,1758616488070,2025-09-23 16:34:48,2025-09-23 16:34:48,2025-09-23 16:34:48
3,3,监控摄像头-3,过滤设备附近,良好,82.20,正常,89,网络连接质量: 89%,正常,91,图像质量评分: 91%,正常,84,硬件状态评分: 84%,正常,65,存储空间使用率: 35%,19.55,295,1758616488073,2025-09-23 16:34:48,2025-09-23 16:34:48,2025-09-23 16:34:48
4,4,监控摄像头-4,南侧水体监控,离线,0.00,失败,0,无法连接到摄像头,未知,0,摄像头离线,未知,0,无法检测硬件状态,未知,0,无法检测存储状态,,,1758616488075,2025-09-23 16:34:48,2025-09-23 16:34:48,2025-09-23 16:34:48
5,5,监控摄像头-5,应急备用区域,良好,89.00,正常,93,网络连接质量: 93%,正常,74,图像质量评分: 74%,正常,95,硬件状态评分: 95%,正常,94,存储空间使用率: 6%,21.38,283,1758616488077,2025-09-23 16:34:48,2025-09-23 16:34:48,2025-09-23 16:34:48
6,6,监控摄像头-6,北侧深水区,优秀,91.50,正常,92,网络连接质量: 92%,正常,82,图像质量评分: 82%,正常,97,硬件状态评分: 97%,正常,95,存储空间使用率: 5%,19.40,125,1758616488079,2025-09-23 16:34:48,2025-09-23 16:34:48,2025-09-23 16:34:48
7,7,监控摄像头-7,中央监控点,良好,80.80,正常,90,网络连接质量: 90%,正常,85,图像质量评分: 85%,正常,83,硬件状态评分: 83%,正常,65,存储空间使用率: 35%,24.32,225,1758616488081,2025-09-23 16:34:48,2025-09-23 16:34:48,2025-09-23 16:34:48
8,8,监控摄像头-8,西侧浅水区,优秀,91.50,正常,94,网络连接质量: 94%,正常,88,图像质量评分: 88%,正常,100,硬件状态评分: 100%,正常,84,存储空间使用率: 16%,20.64,706,1758616488083,2025-09-23 16:34:48,2025-09-23 16:34:48,2025-09-23 16:34:48
9,9,监控摄像头-9,主养殖区东北角,良好,81.50,正常,88,网络连接质量: 88%,正常,92,图像质量评分: 92%,正常,81,硬件状态评分: 81%,正常,65,存储空间使用率: 35%,19.06,174,1758616488085,2025-09-23 16:34:48,2025-09-23 16:34:48,2025-09-23 16:34:48
10,10,监控摄像头-10,投食区中心位置,良好,83.50,正常,100,网络连接质量: 100%,正常,74,图像质量评分: 74%,正常,87,硬件状态评分: 87%,正常,73,存储空间使用率: 27%,19.09,689,1758616488087,2025-09-23 16:34:48,2025-09-23 16:34:48,2025-09-23 16:34:48
