id,camera_id,name,location,status,quality,resolution,last_update,last_update_time,fps,temperature,connectivity,recording,night_vision,motion_detection,created_at,updated_at
1,1,监控摄像头-1,主养殖区东北角,在线,高,1920x1080,1758616487997,16:34:47,13,22.34,87,true,true,false,2025-09-23 16:23:58,2025-09-23 16:34:48
2,2,监控摄像头-2,投食区中心位置,在线,低,1920x1080,1758616488023,16:34:48,21,20.98,97,false,true,false,2025-09-23 16:23:58,2025-09-23 16:34:48
3,3,监控摄像头-3,过滤设备附近,在线,高,1920x1080,1758616488026,16:34:48,10,22.82,88,true,false,true,2025-09-23 16:23:58,2025-09-23 16:34:48
4,4,监控摄像头-4,南侧水体监控,在线,低,1920x1080,1758616488029,16:34:48,15,23.67,90,true,true,true,2025-09-23 16:23:58,2025-09-23 16:34:48
5,5,监控摄像头-5,应急备用区域,在线,低,1920x1080,1758616488031,16:34:48,10,21.64,96,true,false,true,2025-09-23 16:23:58,2025-09-23 16:34:48
6,6,监控摄像头-6,北侧深水区,在线,中,1920x1080,1758616488033,16:34:48,18,19.74,90,true,true,true,2025-09-23 16:23:58,2025-09-23 16:34:48
7,7,监控摄像头-7,中央监控点,在线,中,1920x1080,1758616488035,16:34:48,15,23.46,85,false,false,false,2025-09-23 16:23:58,2025-09-23 16:34:48
8,8,监控摄像头-8,西侧浅水区,在线,中,1920x1080,1758616488037,16:34:48,27,24.08,85,true,true,false,2025-09-23 16:23:58,2025-09-23 16:34:48
9,9,监控摄像头-9,主养殖区东北角,在线,中,1920x1080,1758616488039,16:34:48,20,21.98,91,true,false,true,2025-09-23 16:23:58,2025-09-23 16:34:48
10,10,监控摄像头-10,投食区中心位置,在线,低,1920x1080,1758616488041,16:34:48,27,23.13,96,true,false,false,2025-09-23 16:23:58,2025-09-23 16:34:48
